response_id,employee_id,survey_date,engagement_score,open_text_comment
R00135,E0025,2024-12-01,4,The culture encourages learning and innovation.
R00136,E0025,2025-06-01,2,Workload is high and expectations are unclear.
R00137,E0025,2025-12-01,5,I feel valued and have autonomy in my work.
R00138,E0026,2023-06-01,2,Workload is high and expectations are unclear.
R00139,E0026,2023-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00140,E0026,2024-06-01,4,Team collaboration is strong and leadership is supportive.
R00141,E0026,2024-12-01,3,Work is steady but processes could improve.
R00142,E0026,2025-06-01,4,I feel valued and have autonomy in my work.
R00143,E0026,2025-12-01,3,Communication is acceptable but priorities shift sometimes.
R00144,E0027,2023-06-01,1,Workload is high and expectations are unclear.
R00145,E0027,2023-12-01,2,Workload is high and expectations are unclear.
R00146,E0027,2024-06-01,5,The culture encourages learning and innovation.
R00147,E0027,2024-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00148,E0027,2025-06-01,5,The culture encourages learning and innovation.
R00149,E0027,2025-12-01,4,Team collaboration is strong and leadership is supportive.
R00150,E0028,2023-06-01,3,Work is steady but processes could improve.
R00151,E0028,2023-12-01,3,Communication is acceptable but priorities shift sometimes.
R00152,E0028,2024-06-01,5,I feel valued and have autonomy in my work.
R00153,E0029,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00154,E0029,2023-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00155,E0029,2024-06-01,2,Workload is high and expectations are unclear.
R00156,E0030,2023-06-01,3,Tools are fine though coordination can improve.
R00157,E0030,2023-12-01,5,The culture encourages learning and innovation.
R00158,E0030,2024-06-01,1,Workload is high and expectations are unclear.
R00159,E0030,2024-12-01,5,The culture encourages learning and innovation.
R00160,E0030,2025-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00161,E0030,2025-12-01,5,I feel valued and have autonomy in my work.
R00162,E0031,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00163,E0031,2023-12-01,5,Team collaboration is strong and leadership is supportive.
R00164,E0031,2024-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00165,E0031,2024-12-01,5,Team collaboration is strong and leadership is supportive.
R00166,E0031,2025-06-01,2,Leadership communication lacks clarity.
R00167,E0031,2025-12-01,4,The culture encourages learning and innovation.
R00168,E0032,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00169,E0032,2023-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00170,E0032,2024-06-01,5,I feel valued and have autonomy in my work.
R00171,E0032,2024-12-01,2,Workload is high and expectations are unclear.
R00172,E0032,2025-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00173,E0032,2025-12-01,3,Tools are fine though coordination can improve.
R00174,E0033,2023-06-01,3,Tools are fine though coordination can improve.
R00175,E0033,2023-12-01,4,I feel valued and have autonomy in my work.
R00176,E0033,2024-06-01,2,Leadership communication lacks clarity.
R00177,E0033,2024-12-01,5,I feel valued and have autonomy in my work.
R00178,E0034,2023-06-01,1,Workload is high and expectations are unclear.
R00179,E0034,2023-12-01,5,The culture encourages learning and innovation.
R00180,E0034,2024-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00181,E0035,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00182,E0035,2023-12-01,1,Workload is high and expectations are unclear.
R00183,E0035,2024-06-01,5,I feel valued and have autonomy in my work.
R00184,E0035,2024-12-01,4,Team collaboration is strong and leadership is supportive.
R00185,E0035,2025-06-01,5,The culture encourages learning and innovation.
R00186,E0035,2025-12-01,3,Tools are fine though coordination can improve.
R00187,E0036,2023-06-01,3,Tools are fine though coordination can improve.
R00188,E0036,2023-12-01,3,Tools are fine though coordination can improve.
R00189,E0036,2024-06-01,4,I feel valued and have autonomy in my work.
R00190,E0036,2024-12-01,2,Leadership communication lacks clarity.
R00191,E0036,2025-06-01,3,Communication is acceptable but priorities shift sometimes.
R00192,E0036,2025-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00193,E0037,2023-06-01,5,I feel valued and have autonomy in my work.
R00194,E0037,2023-12-01,1,Leadership communication lacks clarity.
R00195,E0038,2023-06-01,2,Leadership communication lacks clarity.
R00196,E0038,2023-12-01,1,Leadership communication lacks clarity.
R00197,E0038,2024-06-01,4,Team collaboration is strong and leadership is supportive.
R00198,E0038,2024-12-01,1,Leadership communication lacks clarity.
R00199,E0038,2025-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00200,E0038,2025-12-01,5,The culture encourages learning and innovation.
R00201,E0039,2023-06-01,4,I feel valued and have autonomy in my work.
R00202,E0039,2023-12-01,5,Team collaboration is strong and leadership is supportive.
R00203,E0039,2024-06-01,1,Leadership communication lacks clarity.
R00204,E0039,2024-12-01,1,Leadership communication lacks clarity.
R00205,E0039,2025-06-01,4,The culture encourages learning and innovation.
R00206,E0040,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00207,E0040,2023-12-01,4,The culture encourages learning and innovation.
R00208,E0040,2024-06-01,3,Communication is acceptable but priorities shift sometimes.
R00209,E0040,2024-12-01,2,Leadership communication lacks clarity.
R00210,E0040,2025-06-01,1,Workload is high and expectations are unclear.
R00211,E0040,2025-12-01,4,I feel valued and have autonomy in my work.
R00212,E0041,2023-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00213,E0041,2023-12-01,1,Workload is high and expectations are unclear.
R00214,E0041,2024-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00215,E0041,2024-12-01,3,Work is steady but processes could improve.
R00216,E0041,2025-06-01,1,Leadership communication lacks clarity.
R00217,E0041,2025-12-01,3,Tools are fine though coordination can improve.
R00218,E0042,2023-06-01,2,Workload is high and expectations are unclear.
R00219,E0042,2023-12-01,4,I feel valued and have autonomy in my work.
R00220,E0042,2024-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00221,E0042,2024-12-01,4,The culture encourages learning and innovation.
R00222,E0042,2025-06-01,5,Team collaboration is strong and leadership is supportive.
R00223,E0042,2025-12-01,1,Workload is high and expectations are unclear.
R00224,E0043,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00225,E0043,2023-12-01,3,Tools are fine though coordination can improve.
R00226,E0043,2024-06-01,5,I feel valued and have autonomy in my work.
R00227,E0043,2024-12-01,2,Leadership communication lacks clarity.
R00228,E0043,2025-06-01,2,Leadership communication lacks clarity.
R00229,E0043,2025-12-01,5,The culture encourages learning and innovation.
R00230,E0044,2023-06-01,5,The culture encourages learning and innovation.
R00231,E0044,2023-12-01,2,Workload is high and expectations are unclear.
R00232,E0044,2024-06-01,5,Team collaboration is strong and leadership is supportive.
R00233,E0044,2024-12-01,1,Workload is high and expectations are unclear.
R00234,E0044,2025-06-01,3,Tools are fine though coordination can improve.
R00235,E0044,2025-12-01,2,Leadership communication lacks clarity.
R00236,E0045,2023-06-01,3,Work is steady but processes could improve.
R00237,E0045,2023-12-01,1,Leadership communication lacks clarity.
R00238,E0045,2024-06-01,5,The culture encourages learning and innovation.
R00239,E0045,2024-12-01,3,Tools are fine though coordination can improve.
R00240,E0045,2025-06-01,5,I feel valued and have autonomy in my work.
R00241,E0045,2025-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00242,E0046,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00243,E0046,2023-12-01,4,I feel valued and have autonomy in my work.
R00244,E0046,2024-06-01,3,Work is steady but processes could improve.
R00245,E0046,2024-12-01,5,I feel valued and have autonomy in my work.
R00246,E0046,2025-06-01,4,I feel valued and have autonomy in my work.
R00247,E0046,2025-12-01,5,Team collaboration is strong and leadership is supportive.
R00248,E0047,2024-06-01,2,Workload is high and expectations are unclear.
R00249,E0047,2024-12-01,3,Communication is acceptable but priorities shift sometimes.
R00250,E0047,2025-06-01,5,I feel valued and have autonomy in my work.
R00251,E0048,2023-06-01,3,Work is steady but processes could improve.
R00252,E0048,2023-12-01,4,Team collaboration is strong and leadership is supportive.
R00253,E0048,2024-06-01,3,Work is steady but processes could improve.
R00254,E0048,2024-12-01,5,Team collaboration is strong and leadership is supportive.
R00255,E0048,2025-06-01,2,Leadership communication lacks clarity.
R00256,E0048,2025-12-01,4,Team collaboration is strong and leadership is supportive.
R00257,E0049,2023-06-01,2,Workload is high and expectations are unclear.
R00258,E0049,2023-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00259,E0049,2024-06-01,3,Work is steady but processes could improve.
R00260,E0049,2024-12-01,1,Workload is high and expectations are unclear.
R00261,E0049,2025-06-01,4,I feel valued and have autonomy in my work.
R00262,E0050,2023-06-01,1,Leadership communication lacks clarity.
R00263,E0050,2023-12-01,3,Communication is acceptable but priorities shift sometimes.
R00264,E0050,2024-06-01,2,Workload is high and expectations are unclear.
R00265,E0050,2024-12-01,4,Team collaboration is strong and leadership is supportive.
R00266,E0050,2025-06-01,3,Work is steady but processes could improve.
R00267,E0050,2025-12-01,3,Tools are fine though coordination can improve.
R00268,E0051,2023-06-01,2,Workload is high and expectations are unclear.
R00269,E0051,2023-12-01,5,The culture encourages learning and innovation.
R00270,E0051,2024-06-01,4,Team collaboration is strong and leadership is supportive.
R00271,E0051,2024-12-01,4,The culture encourages learning and innovation.
R00272,E0051,2025-06-01,1,Workload is high and expectations are unclear.
R00273,E0051,2025-12-01,1,Workload is high and expectations are unclear.
R00274,E0052,2023-06-01,4,I feel valued and have autonomy in my work.
R00275,E0052,2023-12-01,1,Workload is high and expectations are unclear.
R00276,E0052,2024-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00277,E0052,2024-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00278,E0052,2025-06-01,5,The culture encourages learning and innovation.
R00279,E0052,2025-12-01,4,Team collaboration is strong and leadership is supportive.
R00280,E0053,2023-06-01,1,Leadership communication lacks clarity.
R00281,E0053,2023-12-01,1,Leadership communication lacks clarity.
R00282,E0053,2024-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00283,E0053,2024-12-01,4,I feel valued and have autonomy in my work.
R00284,E0053,2025-06-01,1,Leadership communication lacks clarity.
R00285,E0053,2025-12-01,4,Team collaboration is strong and leadership is supportive.
R00286,E0054,2023-06-01,5,The culture encourages learning and innovation.
R00287,E0054,2023-12-01,5,Team collaboration is strong and leadership is supportive.
R00288,E0054,2024-06-01,4,I feel valued and have autonomy in my work.
R00289,E0054,2024-12-01,4,I feel valued and have autonomy in my work.
R00290,E0054,2025-06-01,5,The culture encourages learning and innovation.
R00291,E0054,2025-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00292,E0055,2023-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00293,E0055,2023-12-01,5,I feel valued and have autonomy in my work.
R00294,E0055,2024-06-01,5,Team collaboration is strong and leadership is supportive.
R00295,E0055,2024-12-01,1,Workload is high and expectations are unclear.
R00296,E0055,2025-06-01,1,Leadership communication lacks clarity.
R00297,E0055,2025-12-01,1,Leadership communication lacks clarity.
R00298,E0056,2023-06-01,2,Leadership communication lacks clarity.
R00299,E0056,2023-12-01,2,Leadership communication lacks clarity.
R00300,E0056,2024-06-01,5,I feel valued and have autonomy in my work.
R00301,E0056,2024-12-01,3,Communication is acceptable but priorities shift sometimes.
R00302,E0056,2025-06-01,4,The culture encourages learning and innovation.
R00303,E0056,2025-12-01,5,I feel valued and have autonomy in my work.
R00304,E0057,2023-06-01,2,Workload is high and expectations are unclear.
R00305,E0057,2023-12-01,2,Workload is high and expectations are unclear.
R00306,E0057,2024-06-01,1,Workload is high and expectations are unclear.
R00307,E0057,2024-12-01,3,Tools are fine though coordination can improve.
R00308,E0057,2025-06-01,4,The culture encourages learning and innovation.
R00309,E0057,2025-12-01,3,Communication is acceptable but priorities shift sometimes.
R00310,E0058,2023-06-01,5,The culture encourages learning and innovation.
R00311,E0058,2023-12-01,2,Workload is high and expectations are unclear.
R00312,E0058,2024-06-01,4,I feel valued and have autonomy in my work.
R00313,E0058,2024-12-01,5,I feel valued and have autonomy in my work.
R00314,E0058,2025-06-01,3,Communication is acceptable but priorities shift sometimes.
R00315,E0059,2023-06-01,1,Leadership communication lacks clarity.
R00316,E0059,2023-12-01,5,The culture encourages learning and innovation.
R00317,E0059,2024-06-01,2,Workload is high and expectations are unclear.
R00318,E0059,2024-12-01,2,Leadership communication lacks clarity.
R00319,E0059,2025-06-01,5,Team collaboration is strong and leadership is supportive.
R00320,E0059,2025-12-01,4,I feel valued and have autonomy in my work.
R00321,E0060,2023-06-01,2,Workload is high and expectations are unclear.
R00322,E0060,2023-12-01,2,Workload is high and expectations are unclear.
R00323,E0060,2024-06-01,3,Work is steady but processes could improve.
R00324,E0060,2024-12-01,4,The culture encourages learning and innovation.
R00325,E0060,2025-06-01,4,The culture encourages learning and innovation.
R00326,E0060,2025-12-01,3,Tools are fine though coordination can improve.
R00327,E0061,2023-06-01,5,I feel valued and have autonomy in my work.
R00328,E0061,2023-12-01,5,I feel valued and have autonomy in my work.
R00329,E0061,2024-06-01,4,I feel valued and have autonomy in my work.
R00330,E0061,2024-12-01,2,Workload is high and expectations are unclear.
R00331,E0061,2025-06-01,4,Team collaboration is strong and leadership is supportive.
R00332,E0061,2025-12-01,4,Team collaboration is strong and leadership is supportive.
R00333,E0062,2023-06-01,1,Leadership communication lacks clarity.
R00334,E0062,2023-12-01,2,Leadership communication lacks clarity.
R00335,E0062,2024-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00336,E0062,2024-12-01,5,Team collaboration is strong and leadership is supportive.
R00337,E0062,2025-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00338,E0062,2025-12-01,3,Tools are fine though coordination can improve.
R00339,E0064,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00340,E0064,2023-12-01,4,Team collaboration is strong and leadership is supportive.
R00341,E0064,2024-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00342,E0064,2024-12-01,1,Workload is high and expectations are unclear.
R00343,E0064,2025-06-01,3,Work is steady but processes could improve.
R00344,E0064,2025-12-01,5,Team collaboration is strong and leadership is supportive.
R00345,E0065,2023-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00346,E0065,2023-12-01,4,Team collaboration is strong and leadership is supportive.
R00347,E0065,2024-06-01,5,I feel valued and have autonomy in my work.
R00348,E0065,2024-12-01,1,Workload is high and expectations are unclear.
R00349,E0065,2025-06-01,2,Workload is high and expectations are unclear.
R00350,E0065,2025-12-01,3,Work is steady but processes could improve.
R00351,E0066,2023-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00352,E0066,2023-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00353,E0066,2024-06-01,5,Team collaboration is strong and leadership is supportive.
R00354,E0066,2024-12-01,2,Workload is high and expectations are unclear.
R00355,E0066,2025-06-01,1,Workload is high and expectations are unclear.
R00356,E0066,2025-12-01,3,Work is steady but processes could improve.
R00357,E0067,2023-06-01,1,Leadership communication lacks clarity.
R00358,E0067,2023-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00359,E0067,2024-06-01,1,Recognition feels limited and growth opportunities are not transparent.
R00360,E0067,2024-12-01,2,Recognition feels limited and growth opportunities are not transparent.
R00361,E0067,2025-06-01,4,Team collaboration is strong and leadership is supportive.
R00362,E0067,2025-12-01,3,Communication is acceptable but priorities shift sometimes.
R00363,E0068,2023-06-01,2,Leadership communication lacks clarity.
R00364,E0068,2023-12-01,5,I feel valued and have autonomy in my work.
R00365,E0068,2024-06-01,1,Workload is high and expectations are unclear.
R00366,E0068,2024-12-01,2,Workload is high and expectations are unclear.
R00367,E0069,2023-06-01,2,Workload is high and expectations are unclear.
R00368,E0069,2023-12-01,5,I feel valued and have autonomy in my work.
R00369,E0070,2023-06-01,3,Communication is acceptable but priorities shift sometimes.
R00370,E0070,2023-12-01,5,I feel valued and have autonomy in my work.
R00371,E0070,2024-06-01,2,Workload is high and expectations are unclear.
R00372,E0070,2024-12-01,5,The culture encourages learning and innovation.
R00373,E0070,2025-06-01,2,Leadership communication lacks clarity.
R00374,E0070,2025-12-01,3,Work is steady but processes could improve.
R00375,E0071,2023-06-01,3,Work is steady but processes could improve.
R00376,E0071,2023-12-01,1,Leadership communication lacks clarity.
R00377,E0071,2024-06-01,3,Work is steady but processes could improve.
R00378,E0071,2024-12-01,5,The culture encourages learning and innovation.
R00379,E0071,2025-06-01,4,Team collaboration is strong and leadership is supportive.
R00380,E0071,2025-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00381,E0072,2023-06-01,5,Team collaboration is strong and leadership is supportive.
R00382,E0072,2023-12-01,2,Leadership communication lacks clarity.
R00383,E0072,2024-06-01,4,The culture encourages learning and innovation.
R00384,E0072,2024-12-01,5,I feel valued and have autonomy in my work.
R00385,E0072,2025-06-01,4,The culture encourages learning and innovation.
R00386,E0072,2025-12-01,4,Team collaboration is strong and leadership is supportive.
R00387,E0073,2024-12-01,3,Tools are fine though coordination can improve.
R00388,E0073,2025-06-01,3,Tools are fine though coordination can improve.
R00389,E0073,2025-12-01,4,The culture encourages learning and innovation.
R00390,E0074,2023-06-01,4,I feel valued and have autonomy in my work.
R00391,E0074,2023-12-01,3,Tools are fine though coordination can improve.
R00392,E0074,2024-06-01,4,The culture encourages learning and innovation.
R00393,E0074,2024-12-01,5,The culture encourages learning and innovation.
R00394,E0074,2025-06-01,1,Workload is high and expectations are unclear.
R00395,E0074,2025-12-01,2,Workload is high and expectations are unclear.
R00396,E0075,2023-06-01,4,Team collaboration is strong and leadership is supportive.
R00397,E0075,2023-12-01,4,Team collaboration is strong and leadership is supportive.
R00398,E0075,2024-06-01,3,Communication is acceptable but priorities shift sometimes.
R00399,E0075,2024-12-01,4,The culture encourages learning and innovation.
R00400,E0075,2025-06-01,2,Recognition feels limited and growth opportunities are not transparent.
R00401,E0075,2025-12-01,3,Tools are fine though coordination can improve.
R00402,E0076,2023-06-01,1,Workload is high and expectations are unclear.
R00403,E0076,2023-12-01,1,Recognition feels limited and growth opportunities are not transparent.
R00404,E0076,2024-06-01,4,The culture encourages learning and innovation.
R00405,E0076,2024-12-01,3,Work is steady but processes could improve.
R00406,E0076,2025-06-01,5,Team collaboration is strong and leadership is supportive.
R00407,E0076,2025-12-01,4,The culture encourages learning and innovation.
R00408,E0077,2023-06-01,5,I feel valued and have autonomy in my work.
R00409,E0077,2023-12-01,4,I feel valued and have autonomy in my work.
R00410,E0077,2024-06-01,4,I feel valued and have autonomy in my work.
R00411,E0077,2024-12-01,4,I feel valued and have autonomy in my work.
R00412,E0077,2025-06-01,4,I feel valued and have autonomy in my work.
R00413,E0077,2025-12-01,3,Communication is acceptable but priorities shift sometimes.
R00414,E0078,2023-06-01,1,Workload is high and expectations are unclear.
R00415,E0078,2023-12-01,4,Team collaboration is strong and leadership is supportive.
R00416,E0078,2024-06-01,3,Tools are fine though coordination can improve.
